num_urls,suspicious_urls,sender_name_length,phishing_words,special_char_density,sender_domain_encoded,receiver_domain_encoded,label
1,0,21,0,0.03663003663003663,8609,377,1
1,0,17,0,0.036585365853658534,8118,377,1
24,0,33,0,0.058703420112302195,15575,377,1
467,0,23,0,0.159513473666967,11856,799,0
1,0,28,0,0.02857142857142857,9554,377,1
0,0,35,0,0.03225806451612903,14706,377,1
0,0,24,0,0.0,14733,377,1
24,0,27,0,0.058703420112302195,14473,377,1
1,0,15,0,0.03777777777777778,8557,799,0
24,0,27,0,0.058703420112302195,10629,377,1
1,0,28,0,0.03420523138832998,6903,377,1
1,0,29,0,0.02849740932642487,7157,377,1
24,0,32,0,0.058703420112302195,16294,377,1
24,0,29,0,0.059034907597535935,11772,377,1
1,0,22,0,0.03417533432392273,12381,377,1
2,0,14,0,0.055392156862745096,12793,377,0
24,0,27,0,0.059034907597535935,11772,377,1
24,0,28,0,0.0590197587888119,11772,377,1
11,0,23,0,0.0716528162511542,7998,651,0
10,0,23,0,0.05609284332688588,7998,651,0
3,0,14,0,0.0473421926910299,1036,377,0
0,0,24,0,0.041576544099975965,11683,614,0
1,0,16,0,0.07514450867052024,9491,512,0
1,0,22,0,0.1046070460704607,15680,711,0
0,0,23,0,0.05176470588235294,7998,651,0
0,0,21,0,0.058823529411764705,1058,377,1
1,0,22,0,0.08333333333333333,7429,377,1
0,0,23,0,0.04311984781230184,7998,651,0
1,0,22,0,0.046153846153846156,13768,377,1
0,0,31,0,0.03880070546737213,7320,377,1
24,0,20,0,0.054424988168480834,552,377,1
0,0,20,0,0.011235955056179775,4514,377,1
1,0,22,0,0.020527859237536656,1893,377,1
0,0,2,0,0.05518553758325404,5146,364,0
1,0,44,0,0.038331454340473504,10935,716,0
24,0,23,0,0.05906522855675398,4,377,1
1,0,7,0,0.036585365853658534,10703,377,1
0,0,18,0,0.011494252873563218,3152,377,1
1,0,15,0,0.03199174406604747,8557,799,0
1,0,22,0,0.03367003367003367,1604,377,1
0,0,21,0,0.014336917562724014,14999,377,1
24,0,30,0,0.058703420112302195,15902,377,1
0,0,31,0,0.0319634703196347,5591,377,1
3,0,33,0,0.04602235371466141,7391,536,0
0,0,45,0,0.019280205655526992,16466,377,0
0,0,23,0,0.05328218243819267,7998,651,0
1,0,7,0,0.030927835051546393,10703,377,1
0,0,17,0,0.011597084161696488,10764,377,0
